Country,Confirmed,Recovered,Deaths,Fatility
Brazil,5459110.0,3367134.0,222424.0,4.0743637699185395
France,4765469.0,2907060.0,223333.0,4.686485212683158
Germany,4261936.0,3172883.0,210541.0,4.940031947922259
India,7464809.0,3514596.0,257437.0,3.448674976144735
Italy,4891820.0,3055729.0,270143.0,5.522341378055611
Mexico,5632946.0,4112546.0,259871.0,4.6134118807458835
Russia,4498728.0,3267724.0,200076.0,4.447390462370697
Spain,4614646.0,2419315.0,165317.0,3.5824416434110002
United Kingdom,4808425.0,3124525.0,206574.0,4.296084476725747
United States,4041515.0,2919008.0,225755.0,5.585900336878621
